"filename", "language", "C++", "TypeScript", "JSON with Comments", "JSON", "HTML", "TypeScript JSX", "PostCSS", "comment", "blank", "total"
"d:\VS Code stuff\ai-programming-agent\frontend\web\src\components\explorer\FileTree.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -131, 0, 0, -15, -146
"d:\VS Code stuff\ai-programming-agent\frontend\web\src\components\history\HistoryPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -173, 0, 0, -15, -188
"d:\VS Code stuff\ai-programming-agent\frontend\web\src\components\layout\ActivityBar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -40, 0, 0, -5, -45
"d:\VS Code stuff\ai-programming-agent\frontend\web\src\components\layout\StatusBar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -36, 0, 0, -3, -39
"d:\VS Code stuff\ai-programming-agent\frontend\web\src\components\layout\TerminalHeader.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -83, 0, 0, -9, -92
"d:\VS Code stuff\ai-programming-agent\frontend\web\src\components\layout\WorkspaceExplorer.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -330, 0, 0, -25, -355
"d:\VS Code stuff\ai-programming-agent\frontend\web\src\hooks\useAgentRuntime.ts", "TypeScript", 0, -450, 0, 0, 0, 0, 0, -2, -54, -506
"d:\VS Code stuff\ai-programming-agent\frontend\web\src\hooks\useClock.ts", "TypeScript", 0, -22, 0, 0, 0, 0, 0, 0, -6, -28
"d:\VS Code stuff\ai-programming-agent\frontend\web\src\hooks\useWorkspaceWorkbench.ts", "TypeScript", 0, -64, 0, 0, 0, 0, 0, 0, -12, -76
"d:\VS Code stuff\ai-programming-agent\frontend\web\src\index.css", "PostCSS", 0, 0, 0, 0, 0, 0, -73, 0, -17, -90
"d:\VS Code stuff\ai-programming-agent\frontend\web\src\main.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -13, 0, 0, -5, -18
"d:\VS Code stuff\ai-programming-agent\frontend\web\src\store\agentReducer.ts", "TypeScript", 0, -333, 0, 0, 0, 0, 0, 0, -17, -350
"d:\VS Code stuff\ai-programming-agent\frontend\web\src\store\workbenchReducer.ts", "TypeScript", 0, -120, 0, 0, 0, 0, 0, 0, -7, -127
"d:\VS Code stuff\ai-programming-agent\frontend\web\src\types.ts", "TypeScript", 0, -33, 0, 0, 0, 0, 0, 0, -10, -43
"d:\VS Code stuff\ai-programming-agent\frontend\web\src\types\api.ts", "TypeScript", 0, -171, 0, 0, 0, 0, 0, 0, -25, -196
"d:\VS Code stuff\ai-programming-agent\frontend\web\tsconfig.json", "JSON with Comments", 0, 0, -21, 0, 0, 0, 0, 0, -1, -22
"d:\VS Code stuff\ai-programming-agent\frontend\web\vite.config.ts", "TypeScript", 0, -14, 0, 0, 0, 0, 0, 0, -2, -16
"d:\VS Code stuff\ai-programming-agent\modules\common\logging\LogConfig.cpp", "C++", 96, 0, 0, 0, 0, 0, 0, 23, 27, 146
"d:\VS Code stuff\ai-programming-agent\modules\common\logging\LogConfig.h", "C++", 26, 0, 0, 0, 0, 0, 0, 19, 10, 55
"d:\VS Code stuff\ai-programming-agent\modules\common\logging\Logger.cpp", "C++", 124, 0, 0, 0, 0, 0, 0, 48, 31, 203
"d:\VS Code stuff\ai-programming-agent\modules\common\logging\Logger.h", "C++", 114, 0, 0, 0, 0, 0, 0, 30, 21, 165
"Total", "-", -107, -1445, -21, -3927, -12, -2559, -73, 37, -486, -8593
