"filename", "language", "C++", "reStructuredText", "C", "comment", "blank", "total"
"d:\VS Code stuff\ai-programming-agent\third_party\spdlog\include\spdlog\fmt\bundled\std.h", "C++", 441, 0, 0, 28, 69, 538
"d:\VS Code stuff\ai-programming-agent\third_party\spdlog\include\spdlog\fmt\bundled\xchar.h", "C++", 211, 0, 0, 12, 37, 260
"d:\VS Code stuff\ai-programming-agent\third_party\spdlog\include\spdlog\fmt\chrono.h", "C++", 14, 0, 0, 7, 3, 24
"d:\VS Code stuff\ai-programming-agent\third_party\spdlog\include\spdlog\fmt\compile.h", "C++", 14, 0, 0, 7, 3, 24
"d:\VS Code stuff\ai-programming-agent\third_party\spdlog\include\spdlog\fmt\fmt.h", "C++", 17, 0, 0, 8, 6, 31
"d:\VS Code stuff\ai-programming-agent\third_party\spdlog\include\spdlog\fmt\ostr.h", "C++", 14, 0, 0, 7, 3, 24
"d:\VS Code stuff\ai-programming-agent\third_party\spdlog\include\spdlog\fmt\ranges.h", "C++", 14, 0, 0, 7, 3, 24
"d:\VS Code stuff\ai-programming-agent\third_party\spdlog\include\spdlog\fmt\std.h", "C++", 14, 0, 0, 8, 3, 25
"d:\VS Code stuff\ai-programming-agent\third_party\spdlog\include\spdlog\fmt\xchar.h", "C++", 14, 0, 0, 7, 3, 24
"d:\VS Code stuff\ai-programming-agent\third_party\spdlog\include\spdlog\formatter.h", "C++", 11, 0, 0, 2, 5, 18
"d:\VS Code stuff\ai-programming-agent\third_party\spdlog\include\spdlog\fwd.h", "C++", 11, 0, 0, 2, 6, 19
"d:\VS Code stuff\ai-programming-agent\third_party\spdlog\include\spdlog\logger-inl.h", "C++", 147, 0, 0, 15, 37, 199
"d:\VS Code stuff\ai-programming-agent\third_party\spdlog\include\spdlog\logger.h", "C++", 272, 0, 0, 37, 71, 380
"d:\VS Code stuff\ai-programming-agent\third_party\spdlog\include\spdlog\mdc.h", "C++", 27, 0, 0, 8, 12, 47
"d:\VS Code stuff\ai-programming-agent\third_party\spdlog\include\spdlog\pattern_formatter-inl.h", "C++", 1051, 0, 0, 68, 206, 1325
"d:\VS Code stuff\ai-programming-agent\third_party\spdlog\include\spdlog\pattern_formatter.h", "C++", 87, 0, 0, 7, 25, 119
"d:\VS Code stuff\ai-programming-agent\third_party\spdlog\include\spdlog\sinks\android_sink.h", "C++", 101, 0, 0, 13, 24, 138
"d:\VS Code stuff\ai-programming-agent\third_party\spdlog\include\spdlog\sinks\ansicolor_sink-inl.h", "C++", 107, 0, 0, 9, 20, 136
"d:\VS Code stuff\ai-programming-agent\third_party\spdlog\include\spdlog\sinks\ansicolor_sink.h", "C++", 83, 0, 0, 12, 21, 116
"d:\VS Code stuff\ai-programming-agent\third_party\spdlog\include\spdlog\sinks\base_sink-inl.h", "C++", 45, 0, 0, 2, 13, 60
"d:\VS Code stuff\ai-programming-agent\third_party\spdlog\include\spdlog\sinks\base_sink.h", "C++", 33, 0, 0, 9, 10, 52
"d:\VS Code stuff\ai-programming-agent\third_party\spdlog\include\spdlog\sinks\basic_file_sink-inl.h", "C++", 31, 0, 0, 2, 10, 43
"d:\VS Code stuff\ai-programming-agent\third_party\spdlog\include\spdlog\sinks\basic_file_sink.h", "C++", 45, 0, 0, 8, 13, 66
"d:\VS Code stuff\ai-programming-agent\third_party\spdlog\include\spdlog\sinks\callback_sink.h", "C++", 34, 0, 0, 9, 14, 57
"d:\VS Code stuff\ai-programming-agent\third_party\spdlog\include\spdlog\sinks\daily_file_sink.h", "C++", 199, 0, 0, 27, 27, 253
"d:\VS Code stuff\ai-programming-agent\third_party\spdlog\include\spdlog\sinks\dist_sink.h", "C++", 60, 0, 0, 4, 18, 82
"d:\VS Code stuff\ai-programming-agent\third_party\spdlog\include\spdlog\sinks\dup_filter_sink.h", "C++", 54, 0, 0, 26, 13, 93
"d:\VS Code stuff\ai-programming-agent\third_party\spdlog\include\spdlog\sinks\hourly_file_sink.h", "C++", 151, 0, 0, 18, 23, 192
"d:\VS Code stuff\ai-programming-agent\third_party\spdlog\include\spdlog\sinks\kafka_sink.h", "C++", 89, 0, 0, 9, 22, 120
"d:\VS Code stuff\ai-programming-agent\third_party\spdlog\include\spdlog\sinks\mongo_sink.h", "C++", 83, 0, 0, 8, 18, 109
"d:\VS Code stuff\ai-programming-agent\third_party\spdlog\include\spdlog\sinks\msvc_sink.h", "C++", 49, 0, 0, 6, 14, 69
"d:\VS Code stuff\ai-programming-agent\third_party\spdlog\include\spdlog\sinks\null_sink.h", "C++", 29, 0, 0, 2, 11, 42
"d:\VS Code stuff\ai-programming-agent\third_party\spdlog\include\spdlog\sinks\ostream_sink.h", "C++", 32, 0, 0, 2, 10, 44
"d:\VS Code stuff\ai-programming-agent\third_party\spdlog\include\spdlog\sinks\qt_sinks.h", "C++", 217, 0, 0, 45, 43, 305
"d:\VS Code stuff\ai-programming-agent\third_party\spdlog\include\spdlog\sinks\ringbuffer_sink.h", "C++", 51, 0, 0, 5, 12, 68
"d:\VS Code stuff\ai-programming-agent\third_party\spdlog\include\spdlog\sinks\rotating_file_sink-inl.h", "C++", 107, 0, 0, 18, 20, 145
"d:\VS Code stuff\ai-programming-agent\third_party\spdlog\include\spdlog\sinks\rotating_file_sink.h", "C++", 59, 0, 0, 15, 16, 90
"d:\VS Code stuff\ai-programming-agent\third_party\spdlog\include\spdlog\sinks\sink-inl.h", "C++", 14, 0, 0, 2, 7, 23
"d:\VS Code stuff\ai-programming-agent\third_party\spdlog\include\spdlog\sinks\sink.h", "C++", 23, 0, 0, 3, 9, 35
"d:\VS Code stuff\ai-programming-agent\third_party\spdlog\include\spdlog\sinks\stdout_color_sinks-inl.h", "C++", 28, 0, 0, 2, 9, 39
"d:\VS Code stuff\ai-programming-agent\third_party\spdlog\include\spdlog\sinks\stdout_color_sinks.h", "C++", 37, 0, 0, 2, 11, 50
"d:\VS Code stuff\ai-programming-agent\third_party\spdlog\include\spdlog\sinks\stdout_sinks-inl.h", "C++", 93, 0, 0, 11, 23, 127
"d:\VS Code stuff\ai-programming-agent\third_party\spdlog\include\spdlog\sinks\stdout_sinks.h", "C++", 59, 0, 0, 3, 23, 85
"d:\VS Code stuff\ai-programming-agent\third_party\spdlog\include\spdlog\sinks\syslog_sink.h", "C++", 75, 0, 0, 13, 16, 104
"d:\VS Code stuff\ai-programming-agent\third_party\spdlog\include\spdlog\sinks\systemd_sink.h", "C++", 94, 0, 0, 9, 19, 122
"d:\VS Code stuff\ai-programming-agent\third_party\spdlog\include\spdlog\sinks\tcp_sink.h", "C++", 51, 0, 0, 9, 16, 76
"d:\VS Code stuff\ai-programming-agent\third_party\spdlog\include\spdlog\sinks\udp_sink.h", "C++", 46, 0, 0, 8, 16, 70
"d:\VS Code stuff\ai-programming-agent\third_party\spdlog\include\spdlog\sinks\win_eventlog_sink.h", "C++", 162, 0, 0, 46, 53, 261
"d:\VS Code stuff\ai-programming-agent\third_party\spdlog\include\spdlog\sinks\wincolor_sink-inl.h", "C++", 128, 0, 0, 15, 21, 164
"d:\VS Code stuff\ai-programming-agent\third_party\spdlog\include\spdlog\sinks\wincolor_sink.h", "C++", 56, 0, 0, 10, 17, 83
"d:\VS Code stuff\ai-programming-agent\third_party\spdlog\include\spdlog\spdlog-inl.h", "C++", 63, 0, 0, 2, 28, 93
"d:\VS Code stuff\ai-programming-agent\third_party\spdlog\include\spdlog\spdlog.h", "C++", 210, 0, 0, 75, 68, 353
